Field,Transect,Trans sample,Replicate 2004,Replicate 2008,JohnGr 2004,JohnGr 2008,Tree 2004,Tree 2008,Bare 2004,T/acs 2008,A/acs 2008,LiBl 2004,LiBl 2008,BiBl 2004,BiBl 2008,Ind 2004,Ind 2008,Swit 2004,Swit 2008,EaGa 2004,EaGa 2008,Any 5 2004,Any 5 2008,2004 # of big five per sample point
FM3,2,2,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM3,2,3,10,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
FM3,2,4,11,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM3,2,5,12,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2
FM3,2,6,13,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
FM3,2,7,14,,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,2
FM3,3,1,15,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FM3,3,2,16,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
FM3,3,3,17,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FM3,3,4,18,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FM3,3,5,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM3,3,6,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM3,3,7,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
CM1,1,2,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CM1,1,3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM1,1,4,4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM1,1,5,5,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
CM1,1,6,6,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
CM1,1,7,7,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
CM1,1,8,8,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
CM1,1,9,9,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CM1,1,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM1,1,11,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM1,1,12,12,,0,nd,0,nd,0,nd,nd,0,nd,0,nd,1,nd,0,nd,0,nd,1,nd,1
CM1,2,1,13,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
CM1,2,2,14,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
CM1,2,3,15,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
CM1,2,4,16,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
CM1,2,5,17,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM1,2,6,18,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
CM1,2,7,19,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CM1,2,8,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM1,2,9,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM1,2,10,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM1,2,11,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM1,2,12,24,,0,nd,0,nd,0,nd,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0
CM1,3,1,25,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
CM1,3,2,26,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
CM1,3,3,27,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM1,3,4,28,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CM1,3,5,29,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
CM1,3,6,30,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
CM1,3,7,31,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
